subject_name,course_name,absolute_course_url
Art & Design Courses,Innovar,https://www.classcentral.com/course/innovacion-diseno-4818
Art & Design Courses,Building Your Career in Music: Developing A Brand and Funding Your Music,https://www.classcentral.com/course/navigate-music-industry-independent-arti-9576
Art & Design Courses,Improvisación de jazz,https://www.classcentral.com/course/improvisacion-de-jazz-9579
Art & Design Courses,Produção final do músico moderno,https://www.classcentral.com/course/producao-musico-moderno-9584
Art & Design Courses,Usos Didácticos del Cine: Introducción al Análisis,https://www.classcentral.com/course/usos-didacticos-del-cine-9996
Art & Design Courses,Exploring Beethoven’s Piano Sonatas Part 2,https://www.classcentral.com/course/exploring-beethoven-piano-sonatas-2-7773
Art & Design Courses,The Cycle: Management of Successful Arts and Cultural Organizations,https://www.classcentral.com/course/the-cycle-7748
Art & Design Courses,Becoming a Better Music Teacher,https://www.classcentral.com/course/becoming-a-better-music-teacher-13620
Art & Design Courses,Mastering Final Cut Pro,https://www.classcentral.com/course/mastering-final-cut-pro-15174
Art & Design Courses,Teoria Musical,https://www.classcentral.com/course/teoria-musical-12643
Art & Design Courses,Write A Feature Length Screenplay For Film Or Television,https://www.classcentral.com/course/write-a-feature-length-screenplay-for-film-or-tel-17968
Art & Design Courses,Exploring Beethoven's Piano Sonatas Part 6,https://www.classcentral.com/course/exploring-beethoven-piano-sonatas-6-17980
Art & Design Courses,Arranging for Songwriters,https://www.classcentral.com/course/arranging-for-songwriters-17325
Art & Design Courses,Build an E-commerce Dashboard with Figma,https://www.classcentral.com/course/e-commerce-dashboard-figma-19265
Art & Design Courses,PRINCÍPIOS GERAIS DA TÉCNICA DO VIOLINO E DA VIOLA DE ARCO,https://www.classcentral.com/course/tecnica-violino-viola-19126
Art & Design Courses,Getting Started in GIMP,https://www.classcentral.com/course/getting-started-in-gimp-20401
Art & Design Courses,Compose and Program Music in Python using Earsketch,https://www.classcentral.com/course/compose-program-music-in-python-using-earsketch-19532
Art & Design Courses,Create Training Videos with Powtoon,https://www.classcentral.com/course/create-training-videos-powtoon-20031
Art & Design Courses,S'engager dans l'architecture de notre cadre de vie,https://www.classcentral.com/course/france-universite-numerique-s-engager-dans-l-architecture-de-notre-cadre-de-vie-19016
Art & Design Courses,Film Education: A User's Guide,https://www.classcentral.com/course/film-education-a-user-s-guide-18980
Art & Design Courses,Accessible Landing Page Solutions in XD,https://www.classcentral.com/course/accessible-landing-page-xd-20900
Art & Design Courses,Future Trends of Fashion and Textiles 時尚之未來趨勢(時尚之未来趋势),https://www.classcentral.com/course/edx-future-trends-of-fashion-and-textiles---19310
Art & Design Courses,Fundamentals of Rehearsing Music Ensembles,https://www.classcentral.com/course/music-ensembles-731
Art & Design Courses,Write Like Mozart: An Introduction to Classical Music Composition,https://www.classcentral.com/course/classicalcomp-735
Art & Design Courses,Introdução à Guitarra,https://www.classcentral.com/course/intro-guitarra-9415
Art & Design Courses,Introducción a la Producción Audiovisual,https://www.classcentral.com/course/intro-produccion-audiovisual-9357
Art & Design Courses,A tecnologia da produção musical,https://www.classcentral.com/course/tecnologia-producao-musical-9642
Art & Design Courses,ART of the MOOC: Public Art and Pedagogy,https://www.classcentral.com/course/moocs-4095
Art & Design Courses,Proyecto final de Músico moderno,https://www.classcentral.com/course/proyecto-musico-5255
Art & Design Courses,Guitar Scales and Chord Progressions,https://www.classcentral.com/course/guitar-scales-chord-progressions-11773
Art & Design Courses,3D Printing Hardware,https://www.classcentral.com/course/3d-printer-5990
Art & Design Courses,Pro Tools Basics,https://www.classcentral.com/course/protoolsbasics-5436
Art & Design Courses,Introducción a la producción de música,https://www.classcentral.com/course/music-productiones-4624
Art & Design Courses,Composición de canciones,https://www.classcentral.com/course/composicion-canciones-4871
Art & Design Courses,Serious Gaming,https://www.classcentral.com/course/serious-gaming-6185
Art & Design Courses,Developing Your Musicianship: Final Project,https://www.classcentral.com/course/musicianship-final-project-7052
Art & Design Courses,Pro Tools Basics,https://www.classcentral.com/course/protoolsbasics-5436
Art & Design Courses,Proyecto final de Músico moderno,https://www.classcentral.com/course/proyecto-musico-5255
Art & Design Courses,Approaching Music Theory: Melodic Forms and Simple Harmony,https://www.classcentral.com/course/melodic-forms-simple-harmony-13653
Art & Design Courses,Theories of Media and Technology,https://www.classcentral.com/course/edx-theories-of-media-and-technology-13439
Art & Design Courses,A tecnologia da produção musical,https://www.classcentral.com/course/tecnologia-producao-musical-9642
Art & Design Courses,Introdução à Guitarra,https://www.classcentral.com/course/intro-guitarra-9415
Art & Design Courses,Introducción a la Producción Audiovisual,https://www.classcentral.com/course/intro-produccion-audiovisual-9357
Art & Design Courses,Guitar Scales and Chord Progressions,https://www.classcentral.com/course/guitar-scales-chord-progressions-11773
Art & Design Courses,Cultural and creative industries,https://www.classcentral.com/course/cultural-creative-industries-10331
Art & Design Courses,Как читать фотографию,https://www.classcentral.com/course/kak-chitat-fotografiyu-12795
Art & Design Courses,Introducción al Arte Sonoro,https://www.classcentral.com/course/introduccion-arte-sonoro-14495
Art & Design Courses,Fashion-иллюстрация: Скетчинг,https://www.classcentral.com/course/fashion-illustration-sketching-17942
Art & Design Courses,What Is Contemporary Art?,https://www.classcentral.com/course/contemporary-art-17106
Art & Design Courses,Fashion-иллюстрация: технический рисунок,https://www.classcentral.com/course/fashion-illustration-17309
Art & Design Courses,Sustainable Fashion,https://www.classcentral.com/course/sustainable-fashion-17311
Art & Design Courses,The Language of Design: Form and Meaning,https://www.classcentral.com/course/design-language-16927
Art & Design Courses,Customer Journey Prototyping in XD,https://www.classcentral.com/course/customer-journey-prototyping-in-xd-20082
Art & Design Courses,Writing for Performance,https://www.classcentral.com/course/edx-writing-for-performance-21284
Art & Design Courses,"Unreal Engine Interactive 3D: Sequencer-Cinematography, Interfaces, Visual Effects, Pipelines, and Production",https://www.classcentral.com/course/edx-unreal-engine-interactive-3d-sequencer-cinematography-interfaces-visual-effects-pipelines-and-production-21116
Art & Design Courses,Interaction Design Capstone Project,https://www.classcentral.com/course/interaction-design-capstone-5140
Art & Design Courses,Entrenamiento Auditivo,https://www.classcentral.com/course/miriadax-entrenamiento-auditivo-20448
Art & Design Courses,Western Music in the 20th Century,https://www.classcentral.com/course/edx-western-music-in-the-20th-century-1229
Art & Design Courses,History of Chinese Architecture: Part 1,https://www.classcentral.com/course/edx-history-of-chinese-architecture-part-1-1233
Art & Design Courses,History of Chinese Architecture: Part 2,https://www.classcentral.com/course/edx-history-of-chinese-architecture-part-2-1621
Art & Design Courses,Réalisez vos vidéos 3D-relief !,https://www.classcentral.com/course/ionis-realisez-vos-videos-3d-relief-2183
Art & Design Courses,Shakespeare: On the Page and in Performance,https://www.classcentral.com/course/edx-shakespeare-on-the-page-and-in-performance-939
Art & Design Courses,Western and Chinese Art: Masters and Classics,https://www.classcentral.com/course/edx-western-and-chinese-art-masters-and-classics-3207
Art & Design Courses,OjaiU 2015: The Beat of the World – The Art of Percussion,https://www.classcentral.com/course/independent-ojaiu-2015-the-beat-of-the-world-the-art-of-percussion-3577
Art & Design Courses,Product Design,https://www.classcentral.com/course/udacity-product-design-3646
Art & Design Courses,An Unloved Story: Lost In Translation / Her,https://www.classcentral.com/course/openlearning-an-unloved-story-lost-in-translation-her-3756
Art & Design Courses,Making Science and Engineering Pictures: A Practical Guide to Presenting Your Work,https://www.classcentral.com/course/edx-making-science-and-engineering-pictures-a-practical-guide-to-presenting-your-work-3461
Art & Design Courses,"DOCUMENTAL! Nuevas tendencias, nuevos formatos",https://www.classcentral.com/course/edx-documental-nuevas-tendencias-nuevos-formatos-2150
Art & Design Courses,Innovation Generation: How to Be Creative,https://www.classcentral.com/course/edx-innovation-generation-how-to-be-creative-3507
Art & Design Courses,"Art, Communication and Contact Zones",https://www.classcentral.com/course/open-education-by-blackboard-art-communication-and-contact-zones-4147
Art & Design Courses,Rapid Prototyping,https://www.classcentral.com/course/udacity-rapid-prototyping-4813
Art & Design Courses,Software Design for Non-Designers,https://www.classcentral.com/course/independent-software-design-for-non-designers-3587
Art & Design Courses,Mobile Application Experiences Part 2: Mobile App Design,https://www.classcentral.com/course/edx-mobile-application-experiences-part-2-mobile-app-design-5724
Art & Design Courses,Prototyping Interaction,https://www.classcentral.com/course/iversity-prototyping-interaction-3367
Art & Design Courses,The Meaning of Rome: The Renaissance and Baroque City,https://www.classcentral.com/course/edx-the-meaning-of-rome-the-renaissance-and-baroque-city-5370
Art & Design Courses,Introduction to Game Design,https://www.classcentral.com/course/edx-introduction-to-game-design-2366
Art & Design Courses,"Nativi Digitali, una nuova modalità di apprendimento",https://www.classcentral.com/course/eduopen-nativi-digitali-una-nuova-modalita-di-apprendimento-7699
Art & Design Courses,Creative Programming with Javascript,https://www.classcentral.com/course/kadenze-creative-programming-with-javascript-3769
Art & Design Courses,Il disegno della luce,https://www.classcentral.com/course/emma-il-disegno-della-luce-5885
Art & Design Courses,Desenho para Diário Gráfico,https://www.classcentral.com/course/iversity-desenho-para-diario-grafico-6171
Art & Design Courses,Four Facets of Contemporary Japanese Architecture: Theory,https://www.classcentral.com/course/edx-four-facets-of-contemporary-japanese-architecture-theory-5800
Art & Design Courses,"Jazz: The Music, The Stories, The Players",https://www.classcentral.com/course/edx-jazz-the-music-the-stories-the-players-4809
Art & Design Courses,Reinventing the Piano,https://www.classcentral.com/course/kadenze-reinventing-the-piano-3778
Art & Design Courses,Fashion Style Icons and Design History,https://www.classcentral.com/course/kadenze-fashion-style-icons-and-design-history-4099
Art & Design Courses,Foundations of Arts and Entertainment Technologies,https://www.classcentral.com/course/kadenze-foundations-of-arts-and-entertainment-technologies-5894
Art & Design Courses,Introduction to Italian Opera,https://www.classcentral.com/course/edx-introduction-to-italian-opera-3840
Art & Design Courses,Loop: Repetition and Variation in Music,https://www.classcentral.com/course/kadenze-loop-repetition-and-variation-in-music-3779
Art & Design Courses,Modern Architecture,https://www.classcentral.com/course/independent-modern-architecture-7999
Art & Design Courses,日本文化艺术专题 Japanese Culture and Art,https://www.classcentral.com/course/edx--japanese-culture-and-art-7819
Art & Design Courses,Inside the Music & Video Tech Industry,https://www.classcentral.com/course/kadenze-inside-the-music-video-tech-industry-5327
Art & Design Courses,Generative Art and Computational Creativity,https://www.classcentral.com/course/kadenze-generative-art-and-computational-creativity-4094
Art & Design Courses,Communication Acoustics,https://www.classcentral.com/course/edx-communication-acoustics-7048
Art & Design Courses,New York Architecture,https://www.classcentral.com/course/independent-new-york-architecture-3572
Art & Design Courses,Contemporary Architecture,https://www.classcentral.com/course/independent-contemporary-architecture-2772
Art & Design Courses,Frank Lloyd Wright And The XX Century,https://www.classcentral.com/course/independent-frank-lloyd-wright-and-the-xx-century-2775
Art & Design Courses,Principles of Designing for Humans,https://www.classcentral.com/course/edx-principles-of-designing-for-humans-6256
Art & Design Courses,Introduction to Sound and Acoustic Sketching,https://www.classcentral.com/course/kadenze-introduction-to-sound-and-acoustic-sketching-3776
